Country,Region,Lifeexpectancyatbirth,Gross_national_income_percapita,Totalfertilityrate,Meanyearsofschooling,Population25Older_SomeSecondaryEducation,MaternalMortality_per100Kbirths,2011_PPP_GDP_billions,AnnualGrowthPPP_GDP_pct,PctInternetUsers,PctMobilePhone,PctWomenWBankAcct_orMobileMoneyProvider,MandatoryPaidMatLeave_Days,Female_Est_GNI__2011USD,Male_Est_GNI_2011USD,FemaleLaborForcePartRate_15orOlder,MaleLaborForcePartRate_15orOlder,Female_LifeExp,MaleLifeExp,FemaleMeanYrsSchool,MaleYrsSchool,Women_PctSeatsinparliament,BirthRate_PerK_Ages15_19,FossilFuelPercent,RenewableEnergyFinalPct,PerCapitaCO2_emissions,ForestPctOfTotalLand,PctChangeForest,IncomeShareBottom40pct,IncomeShareofTop10pct,IncomeShareTop1pct
Philippines,asia,71.1,"9,540",2.6,9.4,73.2,114,847.1,4.8,60.1,110.1,38.9,60,"7,541","11,518",45.7,74.1,75.4,67.1,9.6,9.2,29.1,54.2,62.4349,27.45154,1.106962916,27.76939,26.31578947,16.8,31.3,..
Moldova (Republic of),europe,71.8,"6,833",1.3,11.6,96.4,23,23.0,4.1,76.1,88.0,44.6,126,"5,886","7,861",38.9,45.6,76.1,67.5,11.6,11.5,22.8,22.4,88.68802,14.27369,1.896946121,12.57525,29.57633263,24.1,21.7,6.1
Turkmenistan,asia,68.1,"16,407",2.8,9.8,..,42,100.2,4.5,21.3,162.9,35.5,..,"11,746","21,213",52.8,78.2,71.6,64.6,..,..,24.8,24.4,..,0.04089,12.1807696,8.78216,0,..,..,..
Uzbekistan,asia,71.6,"6,462",2.4,11.5,99.9,36,205.7,3.3,52.3,75.9,36.0,126,"4,656","8,277",53.4,78.0,73.7,69.4,11.3,11.8,16.4,23.8,97.7385,2.97018,2.713970987,7.54297,5.378654493,..,..,..
Libya,africa,72.7,"11,685",2.3,7.6,57.4,9,122.9,6.3,21.8,91.5,59.6,98,"4,867","18,363",25.7,79.0,75.8,69.9,8.0,7.2,16.0,5.8,99.1113,1.96655,6.666808376,0.12333,0,..,..,..
Indonesia,asia,71.5,"11,256",2.3,8.0,48.8,126,"3,106.5",4.0,39.8,119.8,51.4,90,"7,672","14,789",52.2,82.0,73.7,69.4,7.6,8.4,19.8,47.4,66.08948,36.87935,1.739177604,49.8604,-23.80479855,17.5,29.5,..
Samoa,oceania,73.2,"5,885",3.9,10.6,74.5,51,1.2,0.3,33.6,63.6,..,28,"3,955","7,685",23.7,38.6,75.3,71.2,..,..,10.0,23.9,..,34.32489,..,60.42403,31.53846154,17.9,31.3,..
South Africa,africa,63.9,"11,756",2.4,10.2,76.5,138,701.6,-0.7,56.2,153.2,70.0,120,"9,035","14,554",48.9,62.6,67.4,60.5,10.0,10.5,41.8,67.9,86.79143,17.15014,7.372164278,7.61774,0,7.2,50.5,19.2
Bolivia (Plurinational State of),southamerica,71.2,"6,849",2.8,9.0,58.8,206,79.3,2.8,43.8,100.8,53.9,90,"4,902","8,780",56.6,79.4,74.2,68.4,8.3,9.8,51.8,64.9,84.15329,17.53818,1.830433327,50.28616,-13.24946254,13.6,31.7,..
Gabon,africa,66.2,"15,794",4.0,8.3,57.6,291,33.7,-1.4,62.0,138.3,53.7,98,"11,238","20,183",43.4,60.2,68.3,64.2,7.5,9.2,17.4,96.2,22.78652,82.00784,1.668930256,90.03765,5.454545455,16.8,27.7,..
Egypt,africa,71.8,"10,744",3.3,7.3,65.3,33,"1,084.0",3.2,46.9,95.3,27.0,90,"4,364","16,989",22.8,73.2,74.2,69.6,6.7,8.0,14.9,53.8,97.92893,5.70938,2.168463177,0.07394,67.2727238,21.9,27.8,19.1
Marshall Islands,oceania,73.9,"4,633",..,10.9,92.1,..,0.2,1.9,38.7,27.6,..,..,..,..,..,..,..,..,10.9,11.2,9.1,..,..,11.16448,..,70.22222,..,..,..,..
Viet Nam,asia,75.3,"6,220",2.1,8.2,69.4,54,631.4,6.0,70.3,147.2,30.4,180,"5,739","6,703",72.7,82.5,79.4,71.2,7.9,8.5,26.7,30.9,69.82184,34.99857,1.998100777,48.06012,67.07344847,18.8,27.1,..
"Palestine, State of",middleeast,73.9,"5,314",3.7,9.1,61.1,45,20.9,-1.6,64.4,89.5,15.9,84,"1,824","8,705",19.3,71.1,75.6,72.3,8.9,9.3,..,52.8,..,10.47271,..,1.52326,0.991191116,19.2,25.2,15.8
Iraq,middleeast,70.5,"15,365",3.7,7.3,48.0,50,598.2,-1.7,49.4,94.9,19.5,98,"3,712","26,745",12.4,72.6,72.5,68.4,6.0,8.6,25.2,71.7,95.98418,0.79883,3.821540147,1.90036,3.378228358,21.9,23.7,22
Morocco,africa,76.5,"7,480",2.4,5.5,32.2,121,279.3,1.6,64.8,124.2,16.8,98,"3,012","12,019",21.4,70.4,77.7,75.2,4.6,6.4,18.4,31.0,88.46886,11.31746,1.57431972,12.60139,13.52442471,17.4,31.9,..
Kyrgyzstan,asia,71.3,"3,317",3.0,10.9,98.4,76,21.8,1.6,38.0,122.6,38.9,126,"2,192","4,465",48.0,75.8,75.5,67.3,11.0,10.8,19.2,32.8,75.47622,23.30682,1.52938678,3.27946,-24.76076555,23.6,23.3,..
Guyana,southamerica,69.8,"7,615",2.5,8.5,63.3,229,5.9,2.9,37.3,83.0,..,91,"4,676","10,533",41.2,73.6,73.0,66.8,8.9,8.0,31.9,74.4,..,25.25873,..,83.90145,-0.864345738,..,..,..
El Salvador,northamerica,73.1,"6,973",2.1,6.9,42.8,54,47.5,2.0,33.8,146.9,24.4,112,"5,234","8,944",46.1,78.9,77.6,68.2,6.6,7.3,31.0,69.5,48.42959,24.40077,1.063380733,12.57722,-30.87532995,17.4,29.1,..
Tajikistan,asia,70.9,"3,482",3.6,10.7,93.1,32,27.9,4.7,22.0,111.5,42.1,140,"1,044","5,881",27.8,59.7,73.2,68.7,10.1,11.2,20.0,57.1,45.98414,44.6592,0.550811622,2.9714,1.930521259,19.4,26.4,..
Cabo Verde,africa,72.8,"6,513",2.3,6.2,29.9,42,3.6,4.3,58.2,112.2,..,60,"5,523","7,497",65.1,73.2,76.0,69.3,6.0,6.5,20.8,73.8,..,26.57972,..,22.54591,57.33333439,..,..,..
Guatemala,northamerica,74.1,"7,378",2.9,6.5,37.8,88,129.5,1.2,65.0,118.7,42.1,84,"4,864","9,970",41.1,85.0,76.9,71.1,6.4,6.5,12.7,70.9,37.3786,63.65099,0.980035308,32.69504,-26.20892802,13.1,38,..
Nicaragua,northamerica,74.3,"4,790",2.4,6.8,47.5,150,31.7,-5.0,27.9,115.1,24.8,84,"4,277","5,318",50.7,83.7,77.8,70.7,7.1,6.5,45.7,85.0,40.69539,48.20491,0.841215398,25.87668,-31.01462118,14.3,37.2,..
India,asia,69.4,"6,829",2.2,6.5,51.6,174,"9,332.0",5.9,34.5,86.9,76.6,182,"2,625","10,712",23.6,78.6,70.7,68.2,4.7,8.2,11.7,13.2,73.57698,36.02122,1.567992415,23.83312,10.82500264,19.8,30.1,21.3
Namibia,africa,63.4,"9,683",3.4,6.9,41.1,265,24.2,-1.9,51.0,112.7,80.7,84,"8,917","10,497",56.2,65.9,66.2,60.4,7.3,6.6,39.7,63.6,66.71909,26.46843,1.720917845,8.31396,-21.88085135,8.6,47.3,..
Timor-Leste,asia,69.3,"7,527",4.1,4.5,..,215,8.6,0.8,27.5,103.2,..,84,"5,389","9,618",25.0,52.6,71.4,67.3,3.6,5.3,33.8,33.8,..,18.22369,..,45.37996,-30.1449288,22.8,24,..
Honduras,northamerica,75.1,"4,258",2.5,6.6,33.5,129,43.7,2.0,31.7,79.2,41.0,84,"3,214","5,305",47.2,83.7,77.4,72.8,6.6,6.6,21.1,72.9,52.47931,51.53741,0.984813061,39.96783,-45.03441495,11,37.7,..
Kiribati,oceania,68.1,"3,917",3.6,7.9,..,90,0.2,0.5,14.6,46.6,..,84,..,..,..,..,72.1,64.0,..,..,6.5,16.2,..,4.254,..,15,0,..,..,..
Bhutan,asia,71.5,"8,609",2.0,3.1,12.0,148,7.1,1.1,48.1,93.3,27.7,56,"6,388","10,579",58.2,74.5,71.8,71.1,2.1,4.2,15.3,20.2,..,86.90455,..,72.48454,35.10517452,17.5,27.9,..
Bangladesh,asia,72.3,"4,057",2.1,6.1,46.7,176,625.9,6.7,15.0,97.3,35.8,112,"2,373","5,701",36.0,81.3,74.3,70.6,5.3,6.8,20.3,83.0,73.76894,34.74707,0.464206365,10.95798,-4.524764095,21,26.8,..
