Country,Region,Lifeexpectancyatbirth,Gross_national_income_percapita,Totalfertilityrate,Meanyearsofschooling,Population25Older_SomeSecondaryEducation,MaternalMortality_per100Kbirths,2011_PPP_GDP_billions,AnnualGrowthPPP_GDP_pct,PctInternetUsers,PctMobilePhone,PctWomenWBankAcct_orMobileMoneyProvider,MandatoryPaidMatLeave_Days,Female_Est_GNI__2011USD,Male_Est_GNI_2011USD,FemaleLaborForcePartRate_15orOlder,MaleLaborForcePartRate_15orOlder,Female_LifeExp,MaleLifeExp,FemaleMeanYrsSchool,MaleYrsSchool,Women_PctSeatsinparliament,BirthRate_PerK_Ages15_19,FossilFuelPercent,RenewableEnergyFinalPct,PerCapitaCO2_emissions,ForestPctOfTotalLand,PctChangeForest,IncomeShareBottom40pct,IncomeShareofTop10pct,IncomeShareTop1pct
Burkina Faso,africa,61.2,"1,705",5.2,1.6,8.8,371,34.7,3.5,16.0,97.9,34.5,98,"1,336","2,077",58.5,75.1,61.9,60.4,1.0,2.1,11.0,104.3,..,74.16719,..,19.33553,-22.73696224,20,29.6,..
Eritrea,africa,65.9,"1,708",4.1,3.9,..,501,..,..,1.3,20.4,..,60,"1,403","2,011",74.1,87.1,68.2,63.8,..,..,22.0,52.6,23.13345,79.76747,0.18687675,14.90693,-7.119063813,..,..,..
Mali,africa,58.9,"1,965",5.9,2.4,13.1,587,39.2,1.8,13.0,115.1,25.7,98,"1,311","2,618",61.3,80.9,59.6,58.1,1.7,3.0,8.8,169.1,..,61.52698,..,3.79941,-30.70254111,20.1,25.7,..
Burundi,africa,61.2,660,5.5,3.1,9.3,712,7.4,-1.6,2.7,56.5,6.7,84,763,555,80.4,77.6,63.0,59.4,2.7,3.6,38.8,55.6,..,95.67892,..,10.92679,-2.906572283,17.9,31,..
South Sudan,africa,57.6,"1,455",4.7,4.8,33.2,789,18.2,-12.1,8.0,33.5,4.7,56,"1,277","1,633",71.8,74.3,59.1,56.1,4.0,5.3,26.6,62.0,72.22263,39.07438,0.16293534,..,..,12.5,33.2,..
Chad,africa,54.0,"1,716",5.8,2.4,6.0,856,27.0,-0.4,6.5,45.1,14.9,98,"1,377","2,056",64.8,77.9,55.4,52.6,1.3,3.6,15.3,161.1,..,89.3574,..,3.77097,-29.18120951,14.6,32.4,..
Central African Republic,africa,52.8,777,4.8,4.3,22.1,882,3.6,2.8,4.3,27.7,9.7,98,622,935,64.7,79.8,55.0,50.6,3.0,5.6,8.6,129.1,..,76.56702,..,35.56198,-1.797870609,10.3,46.2,..
Niger,africa,62.0,912,7.0,2.0,6.6,553,20.9,1.2,5.3,40.6,10.9,98,112,"1,705",67.3,90.5,63.2,60.9,1.4,2.7,17.0,186.5,24.06037,78.93983,0.093560003,0.89177,-41.92288043,19.6,27,..
Korea (Democratic People's Rep. of),asia,72.1,..,1.9,..,..,82,..,..,..,15.0,..,..,..,..,74.3,87.3,75.5,68.4,..,..,16.3,0.3,62.05199,23.12326,1.00471537,40.72751,-40.20241434,..,..,..
Monaco,europe,..,..,..,..,..,..,..,-4.3,97.1,84.5,..,..,..,..,..,..,..,..,..,..,33.3,..,..,..,..,..,..,..,..,..
Nauru,oceania,..,"17,313",..,..,..,..,0.2,-2.2,57.0,94.6,..,..,..,..,..,..,..,..,..,..,10.5,..,..,0.07629,..,0,0,..,..,..
San Marino,europe,..,..,..,..,..,..,1.9,1.0,60.2,112.9,..,630,..,..,..,..,..,..,..,..,26.7,..,..,..,..,0,0,..,..,..
Somalia,africa,57.1,..,6.1,..,..,732,..,..,2.0,48.8,33.7,..,..,..,19.1,74.3,58.8,55.4,..,..,24.3,100.1,..,94.28597,..,10.0204,-24.09804159,..,..,..
Tuvalu,oceania,..,"5,409",..,..,..,..,0.0,1.3,49.3,70.4,..,..,..,..,..,..,..,..,..,..,6.7,..,..,0,..,33.33333,0,17.4,30.7,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
